"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Summary statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Ontario","2016A000235","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891068","7.1.3","413.1","","","","1"
"2016","Ontario","2016A000235","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891069","7.1.4","14.4","","","","1"
"2016","Manitoba","2016A000246","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891070","8.1.1","116.8","","","","1"
"2016","Manitoba","2016A000246","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891071","8.1.2","96.6","","","","1"
"2016","Manitoba","2016A000246","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891072","8.1.3","21.2","","","","1"
"2016","Manitoba","2016A000246","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891073","8.1.4","17.3","","","","1"
"2016","Saskatchewan","2016A000247","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891074","9.1.1","107.5","","","","1"
"2016","Saskatchewan","2016A000247","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891075","9.1.2","93.8","","","","1"
"2016","Saskatchewan","2016A000247","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891076","9.1.3","16.9","","","","1"
"2016","Saskatchewan","2016A000247","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891077","9.1.4","12.7","","","","1"
"2016","Alberta","2016A000248","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891078","10.1.1","1121.2","","","","1"
"2016","Alberta","2016A000248","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891079","10.1.2","969.7","","","","1"
"2016","Alberta","2016A000248","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891080","10.1.3","186.2","","","","1"
"2016","Alberta","2016A000248","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891081","10.1.4","13.5","","","","1"
"2016","British Columbia","2016A000259","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891082","11.1.1","867.1","","","","1"
"2016","British Columbia","2016A000259","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891083","11.1.2","761.8","","","","1"
"2016","British Columbia","2016A000259","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891084","11.1.3","134.9","","","","1"
"2016","British Columbia","2016A000259","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891085","11.1.4","12.1","","","","1"
"2016","Yukon","2016A000260","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891086","12.1.1","","x","","","1"
"2016","Yukon","2016A000260","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891087","12.1.2","","x","","","1"
"2016","Yukon","2016A000260","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891088","12.1.3","","x","","","1"
"2016","Yukon","2016A000260","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891089","12.1.4","","x","","","1"
"2016","Northwest Territories","2016A000261","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891090","13.1.1","","x","","","1"
"2016","Northwest Territories","2016A000261","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891091","13.1.2","","x","","","1"
"2016","Northwest Territories","2016A000261","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891092","13.1.3","","x","","","1"
"2016","Northwest Territories","2016A000261","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891093","13.1.4","","x","","","1"
"2016","Nunavut","2016A000262","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891094","14.1.1","5.7","","","","1"
"2016","Nunavut","2016A000262","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891095","14.1.2","4.9","","","","1"
"2016","Nunavut","2016A000262","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891096","14.1.3","1.1","","","","1"
"2016","Nunavut","2016A000262","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891097","14.1.4","14.7","","","","1"
"2017","Canada","2016A000011124","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v96596660","1.1.1","6865.3","","","","1"
"2017","Canada","2016A000011124","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v96596661","1.1.2","6006.4","","","","1"
"2017","Canada","2016A000011124","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v96596662","1.1.3","1135.1","","","","1"
"2017","Canada","2016A000011124","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v96596663","1.1.4","12.5","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891046","2.1.1","79.1","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891047","2.1.2","65.4","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891048","2.1.3","14.9","","","","1"
"2017","Newfoundland and Labrador","2016A000210","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v116891049","2.1.4","17.2","","","","1"
"2017","Prince Edward Island","2016A000211","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v116891050","3.1.1","11.5","","","","1"
"2017","Prince Edward Island","2016A000211","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v116891051","3.1.2","9.6","","","","1"
"2017","Prince Edward Island","2016A000211","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v116891052","3.1.3","2.1","","","","1"
